Column1,Column2,t,v
223,13.2071352,646,13.2071352
132,10.61620903,737,10.61620903
131,10.60093498,738,10.60093498
130,10.58643723,739,10.58643723
129,10.57784843,740,10.57784843
128,10.56385708,741,10.56385708
127,10.54896259,742,10.54896259
126,10.52437019,743,10.52437019
125,10.51711273,744,10.51711273
124,10.50065327,745,10.50065327
123,10.47827244,746,10.47827244
122,10.47184944,747,10.47184944
121,10.4563942,748,10.4563942
120,10.44206715,749,10.44206715
119,10.41798115,750,10.41798115
118,10.40245628,751,10.40245628
117,10.38796043,752,10.38796043
116,10.38180447,753,10.38180447
115,10.35577869,754,10.35577869
114,10.35016251,755,10.35016251
113,10.33477211,756,10.33477211
112,10.31103897,757,10.31103897
111,10.30464077,758,10.30464077
110,10.28735256,759,10.28735256
109,10.2669487,760,10.2669487
108,10.26057148,761,10.26057148
107,10.24416637,762,10.24416637
106,10.2369318,763,10.2369318
105,10.21375751,764,10.21375751
104,10.20706558,765,10.20706558
103,10.19299507,766,10.19299507
102,10.16884899,767,10.16884899
101,10.16058826,768,10.16058826
100,10.14025879,769,10.14025879
65,9.640834808,804,9.640834808
64,9.627011299,805,9.627011299
63,9.608705521,806,9.608705521
62,9.591126442,807,9.591126442
61,9.57771492,808,9.57771492
60,9.574476242,809,9.574476242
59,9.551071167,810,9.551071167
58,9.536570549,811,9.536570549
57,9.529642105,812,9.529642105
56,9.514714241,813,9.514714241
55,9.509149551,814,9.509149551
54,9.487184525,815,9.487184525
53,9.473464012,816,9.473464012
